Name,CountryCode,Population
Bismil,TUR,101400
Stara Zagora,BGR,147939
Banha,EGY,145792
Neiva,COL,300052
Florencia,COL,108574
ChapecÃ³,BRA,144158
Sofija,BGR,1122302
Qomsheh,IRN,89800
Shimoga,IND,179258
Tsuruoka,JPN,100713
Castanhal,BRA,127634
San Jose,PHL,108254
BÃ¦rum,NOR,101340
Arad,ROM,184408
NoumÃ©a,NCL,76293
Quevedo,ECU,129631
Donostia-San SebastiÃ¡n,ESP,179208
Andimeshk,IRN,106923
Aqsu,CHN,164092
Djibouti,DJI,383000
YaÂ´an,CHN,95900
Pondicherry,IND,203065
Takatsuki,JPN,361747
Hanzhong,CHN,169930
JiÂ´an,CHN,148583
Matadi,COD,172730
Osasco,BRA,659604
Kimchaek,PRK,179000
Tampico,MEX,294789
Guasave,MEX,277201
Blackpool,GBR,151000
Jalgaon,IND,242193
Rishra,IND,102649
Komsomolsk-na-Amure,RUS,291600
Lubbock,USA,199564
Visalia,USA,91762
Nijmegen,NLD,152463
CodÃ³,BRA,103153
Gloucester,CAN,107314
Lashio (Lasho),MMR,107600
Bremen,DEU,540330
Legazpi,PHL,157010
Kasugai,JPN,282348
Amersfoort,NLD,126270
Chittagong,BGD,1392860
Ciparay,IDN,111500
Tokushima,JPN,269649
San Marino,SMR,2294
Aydin,TUR,128651
Dundee,GBR,146690
Talcahuano,CHL,277752
Panihati,IND,275990
Reggio nellÂ´ Emilia,ITA,143664
Jining,CHN,265248
Cartago,COL,125884
Salem,USA,136924
Hagonoy,PHL,111425
Villeurbanne,FRA,124215
Ludwigshafen am Rhein,DEU,163771
Adelaide,AUS,978100
Korla,CHN,159344
Niznevartovsk,RUS,233900
Tanauan,PHL,117539
Mango,IND,110024
Delta,CAN,95411
Shanghai,CHN,9696300
Vilnius,LTU,577969
Awka,NGA,111200
Paulista,BRA,248473
Santa BÃ¡rbara dÂ´Oeste,BRA,171657
Yangquan,CHN,362268
Madison,USA,208054
TaubatÃ©,BRA,229130
Botshabelo,ZAF,177971
Zhangjiang,CHN,400997
CuliacÃ¡n,MEX,744859
Saint-Louis,SEN,132400
Szeged,HUN,158158
Le-Cap-HaÃ¯tien,HTI,102233
Bhatpara,IND,304952
Changzhi,CHN,317144
Campos dos Goytacazes,BRA,398418
Kukatpalle,IND,185378
Sittwe (Akyab),MMR,137600
Colombo,LKA,645000
Port Sudan,SDN,308195
Constantine,DZA,443727
Damanhur,EGY,212203
Anqing,CHN,250718
Yibin,CHN,241019
Garden Grove,USA,165196
AnÃ¡polis,BRA,282197
Cascavel,BRA,237510
Zamboanga,PHL,601794
Utsunomiya,JPN,440353
Songnam,KOR,869094
IbiritÃ©,BRA,125982
Oldbury/Smethwick (Warley),GBR,145542
Allappuzha (Alleppey),IND,174666
Khandwa,IND,145133
Huaiyin,CHN,239675
Sanmenxia,CHN,120523
Tunja,COL,109740
Oakland,USA,399484
Uruguaiana,BRA,126305
Rustavi,GEO,155400
Ravenna,ITA,138418
Kawachinagano,JPN,119666
Anyang,CHN,420332
Fuling,CHN,173878
Wuwei,CHN,133101
Afyon,TUR,103984
Utrecht,NLD,234323
Alvorada,BRA,175574
Vereeniging,ZAF,328535
Kidapawan,PHL,101205
Chonju,KOR,563153
Zanzibar,TZA,157634
Nassau,BHS,172000
Pondok Aren,IDN,92700
Durg,IND,150645
Nuuk,GRL,13445
Mahbubnagar,IND,116833
CamagÃ¼ey,CUB,298726
Hurlingham,ARG,170028
Geelong,AUS,125382
SertÃ£ozinho,BRA,98140
Ozamis,PHL,110420
Port-au-Prince,HTI,884472
Tokorozawa,JPN,325809
Zhoushan,CHN,156317
Dali,CHN,136554
Duyun,CHN,132971
Cixi,CHN,107329
MytiÅ¡tÅ¡i,RUS,155700
Embu,BRA,222223
ValparaÃ­so,CHL,293800
Malaybalay,PHL,123672
Bologna,ITA,381161
Kelang,MYS,243355
Kostjantynivka,UKR,95000
Curitiba,BRA,1584232
MossorÃ³,BRA,214901
Titagarh,IND,114085
MonterÃ­a,COL,248245
Pinhais,BRA,98198
Ourinhos,BRA,96291
Bacabal,BRA,93121
Zagazig,EGY,267351
East London,ZAF,221047
Chittoor,IND,133462
Jokohama [Yokohama],JPN,3339594
Gdynia,POL,253521
al-Qamishliya,SYR,144286
Eindhoven,NLD,201843
Indaiatuba,BRA,135968
Bhilwara,IND,183965
Baoji,CHN,337765
Moga,IND,108304
Piacenza,ITA,98384
Hermosillo,MEX,608697
Iguala de la Independencia,MEX,123883
Shikarpur,PAK,133300
Piura,PER,325000
Linhares,BRA,106278
Koganei,JPN,110969
Almaty,KAZ,1129400
Likasi,COD,299118
Mit Ghamr,EGY,101801
Funabashi,JPN,545299
Nampo,PRK,566200
Rawalpindi,PAK,1406214
Tando Adam,PAK,103400
Chiayi,TWN,265109
Pasig,PHL,505058
Coimbatore,IND,816321
Sagamihara,JPN,586300
Isesaki,JPN,123285
Anaheim,USA,328014
Quilmes,ARG,559249
MarÃ­lia,BRA,188691
San Pablo,PHL,207927
Kerman,IRN,384991
Nagaoka,JPN,192407
Habikino,JPN,118968
Suihua,CHN,227881
Taonan,CHN,150168
Brazzaville,COG,950000
Tainan,TWN,728060
SÃ£o Bernardo do Campo,BRA,723132
Kobe,JPN,1425139
Himeji,JPN,475167
Toyonaka,JPN,396689
Barrancabermeja,COL,178020
Roanoke,USA,93357
Mendoza,ARG,123027
La Ceiba,HND,89200
Hami,CHN,161315
San Francisco del RincÃ³n,MEX,100149
Krefeld,DEU,241769
Saint George,BMU,1800
Hamilton,BMU,1200
RondonÃ³polis,BRA,155115
Cauayan,PHL,103952
Lhokseumawe,IDN,109600
Jodhpur,IND,666279
Tuticorin,IND,199854
Dongtai,CHN,192247
Luohe,CHN,126438
Hongjiang,CHN,116188
Barra do PiraÃ­,BRA,89388
Bogor,IDN,285114
Haldia,IND,100347
Tanger,MAR,521735
Kimberley,ZAF,197254
Edmonton,CAN,616306
Derbent,RUS,92300
London,CAN,339917
Savannakhet,LAO,96652
Balti,MDA,153400
Krasnyi LutÅ¡,UKR,101000
GÃ¤ncÃ¤,AZE,299300
Kingston upon Hull,GBR,262000
Hardwar (Haridwar),IND,147305
Haldwani-cum-Kathgodam,IND,104195
Irbil,IRQ,485968
Barletta,ITA,91904
Ufa,RUS,1091200
Jalandhar (Jullundur),IND,509510
Delhi Cantonment,IND,94326
ForlÃ¬,ITA,107475
Ica,PER,194820
Sousse,TUN,145900
BiÃ±an,PHL,201186
Panabo,PHL,133950
Malasiqui,PHL,113190
Shiraz,IRN,1053025
Nyeri,KEN,91258
Fuzhou,CHN,1593800
Huaibei,CHN,366549
Valledupar,COL,263247
Kuala Lumpur,MYS,1297526
El Araich,MAR,90400
CuautitlÃ¡n Izcalli,MEX,452976
Aalborg,DNK,161161
Å ostka,UKR,90000
Cochin (Kochi),IND,564589
Ashdod,ISR,155800
Shimizu,JPN,239123
Battambang,KHM,129800
Shishou,CHN,104571
Georgetown,GUY,254000
Banyuwangi,IDN,89900
Kawanishi,JPN,149794
Kimitsu,JPN,93216
Los Cabos,MEX,105199
MÃ¼nster,DEU,264670
Pasay,PHL,354908
Basirhat,IND,101409
Sudbury,CAN,92686
Changzhou,CHN,530000
Exeter,GBR,111000
Crawley,GBR,97000
Osorno,CHL,141468
Hiratsuka,JPN,254207
Changji,CHN,132260
Arequipa,PER,762000
Matsuyama,JPN,466133
Kitchener,CAN,189959
Deyang,CHN,182488
Linqing,CHN,123958
LuziÃ¢nia,BRA,125597
Changshu,CHN,181805
San Felipe,MEX,95305
Kano,NGA,674100
TÅ¡erkasy,UKR,309000
Berdjansk,UKR,130000
CamaÃ§ari,BRA,149146
Pondokgede,IDN,263200
Latina,ITA,114099
Ancona,ITA,98329
Numazu,JPN,211382
Markham,CAN,189098
Tallinn,EST,403981
Juazeiro,BRA,201073
Salatiga,IDN,103000
Allahabad,IND,792858
Takaoka,JPN,174380
Chifeng,CHN,350077
Zhuhai,CHN,164747
Ikare,NGA,140800
Bordeaux,FRA,215363
Kayseri,TUR,475657
Newport,GBR,139000
Cimanggis,IDN,205100
Zhangjiagang,CHN,97994
Bekasi,IDN,644300
Ajmer,IND,402700
Tychy,POL,133178
Oulu,FIN,120753
al-Manama,BHR,148000
Jacobina,BRA,96131
Zanjan,IRN,286295
Jinzhou,CHN,570000
Lipetsk,RUS,521000
Santa FÃ©,ARG,353063
Moji-GuaÃ§u,BRA,123782
San Carlos,PHL,154264
Ligao,PHL,90603
Murwara (Katni),IND,163431
Okayama,JPN,624269
Prizren,YUG,92303
Caen,FRA,113987
Chelmsford,GBR,97451
Saharanpur,IND,374945
Mandya,IND,120265
Hazaribag,IND,97712
Bafoussam,CMR,131000
Luzhou,CHN,262892
Hengshui,CHN,104269
Haarlemmermeer,NLD,110722
Sultan Kudarat,PHL,94861
Kanpur Cantonment,IND,93109
San Miguel de TucumÃ¡n,ARG,470809
Sobral,BRA,146005
London,GBR,7285000
Talca,CHL,187557
Potchefstroom,ZAF,101817
Kaifeng,CHN,510000
Lhasa,CHN,120000
Phoenix,USA,1321045
Kendari,IDN,94800
Jinan,CHN,2278100
Bamako,MLI,809552
DÃ¼ren,DEU,91092
Gjumri,ARM,211700
Patos de Minas,BRA,119262
Las Palmas de Gran Canaria,ESP,354757
Witbank,ZAF,167183
Cabuyao,PHL,106630
Miraj,IND,125407
Dongwan,CHN,308669
Floridablanca,COL,221913
Queimados,BRA,115020
Cockburn Town,TCA,4800
Imperatriz,BRA,224564
Dobric,BGR,100399
Bhiwandi,IND,379070
Hangzhou,CHN,2190500
Itabuna,BRA,182148
Huddersfield,GBR,143726
al-Rusayfa,JOR,137247
RÃ­o Cuarto,ARG,134355
Surabaya,IDN,2663820
Gorakhpur,IND,505566
Kawaguchi,JPN,452155
Metairie,USA,149428
Flint,USA,124943
Pueblo,USA,102121
La Rioja,ARG,138117
JoÃ£o Pessoa,BRA,584029
SÃ£o Vicente,BRA,286848
Cabo de Santo Agostinho,BRA,149964
Belfast,GBR,287500
Korba,IND,124501
Chengde,CHN,246799
Linfen,CHN,187309
Peristerion,GRC,137288
Votorantim,BRA,91777
Koudougou,BFA,105000
Mosul,IRQ,879000
Koriyama,JPN,330335
Tajimi,JPN,103171
Bobo-Dioulasso,BFA,300000
Chatsworth,ZAF,189885
San Fernando,PHL,221857
Anshan,CHN,1200000
Nakhon Ratchasima,THA,181400
Sirajganj,BGD,99669
Sagar,IND,195346
Livorno,ITA,161673
Toyota,JPN,346090
Chengdu,CHN,3361500
Zunyi,CHN,261862
Velikije Luki,RUS,116300
BÃ©char,DZA,107311
Aligarh,IND,480520
Ponta Grossa,BRA,268013
SÃ£o Carlos,BRA,187122
Magelang,IDN,123800
Tanjung Pinang,IDN,89900
Jiaohe,CHN,176367
Villa Nueva,GTM,101295
Maxixe,MOZ,93985
Palayankottai,IND,97662
Birigui,BRA,94685
Stoke-on-Trent,GBR,252000
Moriguchi,JPN,155941
Oakville,CAN,139192
Gujranwala,PAK,1124749
Port Moresby,PNG,247000
SumarÃ©,BRA,186205
Warangal,IND,447657
Ube,JPN,175206
Thunder Bay,CAN,115913
Hong Gai,VNM,127484
Moji das Cruzes,BRA,339194
Foz do IguaÃ§u,BRA,259425
San Felipe de Puerto Plata,DOM,89423
Ashikaga,JPN,165243
Kameoka,JPN,92398
Muzaffargarh,PAK,121600
Qandahar,AFG,237500
Biskra,DZA,128281
Raipur,IND,438639
Milano,ITA,1300977
Sakai,JPN,797735
UberlÃ¢ndia,BRA,487222
Naga,PHL,137810
Petah Tiqwa,ISR,159400
Yokosuka,JPN,430200
BeiÂ´an,CHN,204899
Laohekou,CHN,123366
al-Taif,SAU,416100
South Hill,AIA,961
Shivapuri,IND,108277
Machakos,KEN,116293
Parakou,BEN,103577
Valencia,PHL,147924
Agra,IND,891790
Catanzaro,ITA,96700
SaarbrÃ¼cken,DEU,183836
Ujung Pandang,IDN,1060257
Gonbad-e Qabus,IRN,111253
Fargona,UZB,180500
Qostanay,KAZ,221400
Jiangyin,CHN,213659
Tulcea,ROM,96278
Ipswich,GBR,114000
Gandhidham,IND,104585
Saint Catharines,CAN,136216
Shaoyang,CHN,247227
Fengcheng,CHN,193784
Huizhou,CHN,161023
Duque de Caxias,BRA,746758
Kota,IND,537371
Nizamabad,IND,241034
CuiabÃ¡,BRA,453813
Bristol,GBR,402000
La Serena,CHL,137409
Secunderabad,IND,167461
Yancheng,CHN,296831
Shangzi,CHN,215373
Heidelberg,DEU,139672
La Paz,BOL,758141
Vila Velha,BRA,318758
Temuco,CHL,233041
Batumi,GEO,137700
Jalna,IND,174985
Kishiwada,JPN,197276
Jiutai,CHN,180130
Alkmaar,NLD,92713
Shimonoseki,JPN,257263
Urayasu,JPN,127550
Kisumu,KEN,192733
PÃ¡nuco,MEX,90551
Iquitos,PER,367000
Oxford,GBR,144000
Anjo,JPN,153823
QuÃ©bec,CAN,167264
Rudnyy,KAZ,109500
Peking,CHN,7472000
Kunming,CHN,1829500
Xuzhou,CHN,810000
Fuxin,CHN,640000
Kanton [Guangzhou],CHN,4256300
Santos,BRA,408748
Silay,PHL,107722
Kalyan,IND,1014557
Roma,ITA,2643581
Matsubara,JPN,135010
Abiko,JPN,126670
Xiantao,CHN,222884
Ezhou,CHN,190123
Yuyao,CHN,114065
Barcelona,VEN,322267
NovotÅ¡erkassk,RUS,184400
Manchester,GBR,430000
Ambato,ECU,169612
Xinzhou,CHN,98667
Tete,MOZ,101984
Nantes,FRA,270251
Oran,DZA,609823
Dipolog,PHL,99862
Yonezawa,JPN,95592
Nepean,CAN,115100
Loudi,CHN,128418
Å ahty,RUS,221800
San Francisco,USA,776733
Mount Darwin,ZWE,164362
Saint JohnÂ´s,ATG,24000
Fortaleza,BRA,2097757
Matola,MOZ,424662
Yumen,CHN,109234
Lancaster,USA,118718
Basra,IRQ,406296
Onitsha,NGA,371900
Le Mans,FRA,146105
Ajman,ARE,114395
al-Mahallat al-Kubra,EGY,395402
Mathura,IND,226691
Imabari,JPN,119357
Shaowu,CHN,90286
Guwahati (Gauhati),IND,584342
Shymkent,KAZ,360100
Blida (el-Boulaida),DZA,127284
MaringÃ¡,BRA,286461
Banda Aceh,IDN,143409
Livonia,USA,100545
Bhusawal,IND,145143
Takamatsu,JPN,332471
TecÃ¡mac,MEX,172410
Myingyan,MMR,103600
Quezon,PHL,2173831
Jombang,IDN,92600
Barrackpur,IND,133265
Longyan,CHN,134481
Coventry,GBR,304000
Medan,IDN,1843919
Tieli,CHN,265683
Fujin,CHN,103104
KrakÃ³w,POL,738150
Kingstown,VCT,17100
Sfax,TUN,257800
Haarlem,NLD,148772
GuaymallÃ©n,ARG,200595
San Pedro,PHL,231403
Lengshuijiang,CHN,137994
Pingliang,CHN,99265
Swansea,GBR,230000
Kamagaya,JPN,100821
Toledo,BRA,99387
Lincoln,USA,225581
Newcastle,AUS,270324
Dourados,BRA,164716
al-Mansura,EGY,369621
Santa Coloma de Gramenet,ESP,120802
Salem,IND,366712
Berhampore (Baharampur),IND,115144
Rajapalaiyam,IND,114202
Kanazawa,JPN,455386
Cluj-Napoca,ROM,332498
Suzano,BRA,195434
Arapiraca,BRA,178988
Valladolid,ESP,319998
Tanza,PHL,110517
St Petersburg,RUS,4694000
Long Beach,USA,461522
Mandaluyong,PHL,278474
Achalpur,IND,96216
Yonago,JPN,136461
Komatsu,JPN,107937
Dongying,CHN,281728
Enshi,CHN,93056
Envigado,COL,135848
KecskemÃ©t,HUN,105606
Caucaia,BRA,238738
Qinhuangdao,CHN,364972
Kakamigahara,JPN,131831
Foshan,CHN,303160
Sukkur,PAK,329176
Bilbao,ESP,357589
Alwar,IND,205086
Ganganagar,IND,161482
Toyohashi,JPN,360066
Mishan,CHN,132744
Banjarmasin,IDN,482931
Khomeynishahr,IRN,165888
Akashi,JPN,292253
Alanya,TUR,117300
Belford Roxo,BRA,425194
Kowloon and New Kowloon,HKG,1987996
Catania,ITA,337862
Hodeida,YEM,298500
Abbotsford,CAN,105403
Roxas,PHL,126352
Rampur,IND,243742
Coquitlam,CAN,101820
MacapÃ¡,BRA,256033
Gorgan,IRN,188710
Ferrara,ITA,132127
Ciomas,IDN,187400
Salzburg,AUT,144247
Yosu,KOR,183596
Tlaquepaque,MEX,475472
Tucheng,TWN,224897
Izmit (Kocaeli),TUR,210068
Jessore,BGD,139710
Ambala,IND,122596
Sanaa,YEM,503600
Bikaner,IND,416289
Rajahmundry,IND,324851
Changde,CHN,301276
Chong-up,KOR,139111
Soledad de Graciano SÃ¡nchez,MEX,179956
Los Angeles,CHL,158215
Muzaffarnagar,IND,240609
Hitachinaka,JPN,148006
Fushun,CHN,1200000
Guigang,CHN,114025
Ikoma,JPN,111645
Zhuzhou,CHN,409924
Metepec,MEX,194265
Mons,BEL,90935
NiterÃ³i,BRA,459884
Nanded (Nander),IND,275083
Faizabad,IND,124437
Vicenza,ITA,109738
Putian,CHN,91030
Caracas,VEN,1975294
Americana,BRA,177409
Itapetininga,BRA,119391
Cadiz,PHL,141954
Miryang,KOR,121501
Adamstown,PCN,42
Potsdam,DEU,128983
Hat Yai,THA,148632
Gloucester,GBR,107000
Quetzaltenango,GTM,90801
KÃ¶kshetau,KAZ,123400
MedellÃ­n,COL,1861265
Narayanganj,BGD,202134
JaÃº,BRA,109965
Solapur (Sholapur),IND,604215
Babol,IRN,158346
Zhaoqing,CHN,194784
Puno,PER,101578
Aberdeen,GBR,213070
York,GBR,104425
San Salvador,SLV,415346
Gadag Betigeri,IND,134051
Toyama,JPN,325790
Tongliao,CHN,255129
Kirov,RUS,466200
Kananga,COD,393030
Lerdo,MEX,112272
KÃ¸benhavn,DNK,495699
Melbourne,AUS,2865329
Worcester,GBR,95000
Punta Arenas,CHL,125631
CopiapÃ³,CHL,120128
Suva,FJI,77366
Shanwei,CHN,107847
Nablus,PSE,100231
DivinÃ³polis,BRA,185047
Ciego de Ãvila,CUB,98505
Jaffna,LKA,149000
TÅ¡ernivtsi,UKR,259000
Jevpatorija,UKR,112000
Woking/Byfleet,GBR,92000
Akita,JPN,314440
Kitami,JPN,111295
Hohhot,CHN,916700
Serekunda,GMB,102600
Cuddalore,IND,153086
Toluca,MEX,665617
Epe,NGA,101000
Salala,OMN,131813
Wuppertal,DEU,368993
Aizuwakamatsu,JPN,119287
Burlington,CAN,145150
CarÃºpano,VEN,119639
Lalbahadur Nagar,IND,155500
Managua,NIC,959000
Malabo,GNQ,40000
Avellaneda,ARG,353046
Cilegon,IDN,117000
Sayama,JPN,162472
Ghulja,CHN,177193
Chenzhou,CHN,169400
Kitwe,ZMB,288600
Cheltenham,GBR,106000
Tamale,GHA,151069
Bhagalpur,IND,253225
Farrukhabad-cum-Fatehgarh,IND,194567
Yao,JPN,276421
Kushiro,JPN,197608
Tachikawa,JPN,159430
Cochabamba,BOL,482800
Johannesburg,ZAF,756653
Malungon,PHL,93232
Haora (Howrah),IND,950435
Kaiserslautern,DEU,100025
Breda,NLD,160398
Rotherham,GBR,121380
Machala,ECU,210368
Bojnurd,IRN,134835
Bukan,IRN,120020
Winnipeg,CAN,618477
Hebi,CHN,212976
Dujiangyan,CHN,123357
Novo Hamburgo,BRA,239940
MaracanaÃº,BRA,162022
Mandaue,PHL,259728
Anantapur,IND,174924
Wardha,IND,102985
Kyongju,KOR,272968
Zamora,MEX,161191
Ikorodu,NGA,184900
Willemstad,ANT,2345
Varna,BGR,299801
Avarua,COK,11900
Indore,IND,1091674
Thiruvananthapuram (Trivandrum,IND,524006
Raj Nandgaon,IND,125371
Higashiosaka,JPN,517785
Ibaraki,JPN,261020
Varamin,IRN,107233
Yamato,JPN,208234
Tottori,JPN,147523
Oviedo,ESP,200453
Benxi,CHN,770000
Qianjiang,CHN,205504
Brahmanbaria,BGD,109032
Antipolo,PHL,470866
Qaemshahr,IRN,143286
Kadoma,JPN,138953
Quanzhou,CHN,185154
Misrata,LBY,121669
NouÃ¢dhibou,MRT,97600
Coatzacoalcos,MEX,267037
Piatra Neamt,ROM,125070
Bhavnagar,IND,402338
Tiruppur (Tirupper),IND,235661
Santipur,IND,109956
Yamaguchi,JPN,138210
Ust-Ilimsk,RUS,105200
Iquique,CHL,177892
Izumi,JPN,166979
Monaco-Ville,MCO,1234
Cotabato,PHL,163849
Cibinong,IDN,101300
al-Sulaymaniya,IRQ,364096
Kamakura,JPN,167661
Yichang,CHN,371601
Bairiki,KIR,2226
Bhilai,IND,386159
Baotou,CHN,980000
Haining,CHN,100478
Kuwait,KWT,28859
Kota Bharu,MYS,219582
Palmas,BRA,121919
Luton,GBR,183000
Boston,USA,589141
Angra dos Reis,BRA,96864
Kawasaki,JPN,1217359
Yichun,CHN,800000
Osh,KGZ,222700
Kumo,NGA,148000
Mymensingh,BGD,188713
San Carlos,PHL,118259
Hisar (Hissar),IND,172677
Saveh,IRN,111245
Pesaro,ITA,88987
Amman,JOR,1000000
Brampton,CAN,296711
Petropavl,KAZ,203500
Jinmen,CHN,160794
Jammu,IND,214737
Macao,MAC,437500
Lagos de Moreno,MEX,127949
Wad Madani,SDN,211362
Santa Cruz do Sul,BRA,106734
Chennai (Madras),IND,3841396
Tel Aviv-Jaffa,ISR,348100
Portmore,JAM,99799
Tianmen,CHN,186332
Huaihua,CHN,126785
Pointe-Noire,COG,500000
Bauru,BRA,313670
Vicente LÃ³pez,ARG,288341
San Rafael,ARG,94651
Varginha,BRA,108314
A CoruÃ±a (La CoruÃ±a),ESP,243402
Banjul,GMB,42326
Sasebo,JPN,244240
Inazawa,JPN,98746
Vancouver,CAN,514008
Rio de Janeiro,BRA,5598953
Erode,IND,159232
Abohar,IND,107163
Urasoe,JPN,96002
Ibb,YEM,103300
Surrey,CAN,304477
Liaoyang,CHN,492559
Zoetermeer,NLD,110214
ParanÃ¡,ARG,207041
RibeirÃ£o das Neves,BRA,232685
Soshanguve,ZAF,242727
Dagupan,PHL,130328
Sukabumi,IDN,125766
Meihekou,CHN,209038
Dhule (Dhulia),IND,278317
Nagano,JPN,361391
Fukaya,JPN,102156
Kragujevac,YUG,147305
Oujda,MAR,365382
Freiburg im Breisgau,DEU,202455
Tiaret,DZA,100118
Campinas,BRA,950043
Eastbourne,GBR,90000
Sorsogon,PHL,92512
Aqtau,KAZ,143400
Villavicencio,COL,273140
Salt Lake City,USA,181743
Halifax,GBR,91069
Kafr al-Shaykh,EGY,124819
Mwene-Ditu,COD,137459
LanÃºs,ARG,469735
PoÃ§os de Caldas,BRA,129683
GuaratinguetÃ¡,BRA,103433
Tuguegarao,PHL,120645
Bellary,IND,245391
Handa,JPN,108600
Cam Pha,VNM,209086
Baku,AZE,1787800
Baliuag,PHL,119675
Praha,CZE,1181126
Vanderbijlpark,ZAF,468931
Sambhal,IND,150869
Ardebil,IRN,340386
Luanda,AGO,2022000
al-Ayn,ARE,225970
Bani Suwayf,EGY,172032
ReykjavÃ­k,ISL,109184
Bene Beraq,ISR,133900
Ramagundam,IND,214384
Palermo,ITA,683794
Xinyu,CHN,173524
Zwolle,NLD,105819
San Salvador de Jujuy,ARG,178748
Rochdale,GBR,94313
Badajoz,ESP,136613
North York,CAN,622632
TonalÃ¡,MEX,336109
Warri,NGA,126100
SÃ£o LuÃ­s,BRA,837588
al-Arish,EGY,100447
Taguig,PHL,467375
Musashino,JPN,134426
AraÃ§atuba,BRA,169303
Alexandria,EGY,3328196
Randburg,ZAF,341288
Percut Sei Tuan,IDN,129000
Lucknow,IND,1619115
Unnao,IND,107425
Kokubunji,JPN,106996
Taiyuan,CHN,1968400
Kimchon,KOR,147027
Chihuahua,MEX,670208
La Romana,DOM,140204
Conakry,GIN,1090610
Kamarhati,IND,266889
