Name,CountryCode,Population
Guarulhos,BRA,1095874
Cuenca,ECU,270353
Latur,IND,197408
Baghdad,IRQ,4336000
RuiÂ´an,CHN,156468
Xilin Hot,CHN,90646
Buga,COL,110699
Alor Setar,MYS,124412
Salamanca,MEX,226864
Lagos,NGA,1518000
MÃ¼lheim an der Ruhr,DEU,173895
Dunedin,NZL,119600
Central Coast,AUS,227657
Dire Dawa,ETH,164851
Calbayog,PHL,147187
Ciputat,IDN,270800
Dezful,IRN,202639
Mito,JPN,246559
Jiaozuo,CHN,409100
Apopa,SLV,88800
LeganÃ©s,ESP,173163
Ulanhot,CHN,159538
Buenaventura,COL,224336
Oradea,ROM,222239
Ubon Ratchathani,THA,116300
Kars,TUR,93000
San Fernando del Valle de Cata,ARG,134935
BrasÃ­lia,BRA,1969868
AraguaÃ­na,BRA,114948
Asmara,ERI,431000
Rafsanjan,IRN,98300
Ishinomaki,JPN,120963
Kanuma,JPN,93053
Hanoi,VNM,1410000
Road Town,VGB,8000
Milagro,ECU,124177
Hiroshima,JPN,1119117
Antwerpen,BEL,446525
Betim,BRA,302108
Reading,GBR,148000
Taejon,KOR,1425835
Cosoleacaque,MEX,97199
Weno,FSM,22000
Ovalle,CHL,94854
Wuhu,CHN,425740
Enugu,NGA,316100
CÃ³rdoba,ARG,1157507
BahÃ­a Blanca,ARG,239810
Pindamonhangaba,BRA,121904
Worthing,GBR,100000
San Pedro de MacorÃ­s,DOM,124735
Balikpapan,IDN,338752
Amravati,IND,421576
Nellore,IND,316606
Nakuru,KEN,163927
Jinchang,CHN,105287
Oyama,JPN,152820
Yinchuan,CHN,544500
LÃ¡zaro CÃ¡rdenas,MEX,170878
Oslo,NOR,508726
Pamplona [IruÃ±a],ESP,180483
Adoni,IND,136182
Yatsushiro,JPN,107661
Iida,JPN,107583
Ise,JPN,101732
Pereira,COL,381725
Wonju,KOR,237460
Oberhausen,DEU,222349
AraÂ´ar,SAU,108100
Morogoro,TZA,117800
Viransehir,TUR,106400
Dniprodzerzynsk,UKR,270000
Lobito,AGO,130000
JequiÃ©,BRA,179128
Nova Friburgo,BRA,170697
Santa Rita,BRA,113135
JaraguÃ¡ do Sul,BRA,102580
Giza,EGY,2221868
Gaya,IND,291675
al-Zarqa,JOR,389815
Jiangmen,CHN,230587
Liverpool,GBR,461000
Maidstone,GBR,90878
Batam,IDN,91871
Nishinomiya,JPN,397618
Ebina,JPN,115571
Saint-Denis,REU,131480
al-Tuqba,SAU,125700
Nadiad,IND,167051
Dublin,IRL,481854
Dezhou,CHN,195485
Gilbert,USA,109697
Namur,BEL,105419
Itaituba,BRA,101320
Terrassa,ESP,168695
Shahrud,IRN,104765
Matsusaka,JPN,123582
Boca del RÃ­o,MEX,135721
Makati,PHL,444867
Habra,IND,100223
Hamamatsu,JPN,568796
Pabna,BGD,103277
Jamnagar,IND,341637
Alessandria,ITA,90289
Wien,AUT,1608144
Yantai,CHN,452127
Renqiu,CHN,114256
Tong-yong,KOR,131717
Puente Alto,CHL,386236
Qina,EGY,171275
Bulaq al-Dakrur,EGY,148787
Semnan,IRN,91045
Posadas,ARG,201273
Raiganj,IND,151045
Tondabayashi,JPN,125094
Ksar el Kebir,MAR,107065
Mekka,SAU,965700
Shubra al-Khayma,EGY,870716
Klagenfurt,AUT,91141
Oral,KAZ,195500
Yerevan,ARM,1248700
Darbhanga,IND,218391
Modinagar,IND,101660
Gothenburg [GÃ¶teborg],SWE,466990
Santiago de Chile,CHL,4703954
Gibraltar,GIB,27025
Ambon,IDN,249312
Pune,IND,1566651
Bhubaneswar,IND,411542
Siliguri (Shiliguri),IND,216950
Zhaodong,CHN,179976
Odessa,USA,89293
Suez,EGY,417610
Longyearbyen,SJM,1438
Athenai,GRC,772072
Maribor,SVN,115532
ElÃ¢zig,TUR,228815
Ã‡orum,TUR,145495
Huambo,AGO,163100
[San CristÃ³bal de] la Laguna,ESP,127945
Pinetown,ZAF,378810
Gifu,JPN,408007
Raleigh,USA,276093
Sorocaba,BRA,466823
Patos,BRA,90519
Biratnagar,NPL,157764
Ejigbo,NGA,105900
